Word,Occurrences,Total Time,Average Time,Max Time,Min Time,Time Variance
'63,1,1.39,1.39,1.39,1.39,0.0
'64,1,0.69,0.69,0.69,0.69,0.0
'Adventure,1,0.74,0.74,0.74,0.74,0.0
'Britannia,1,0.83,0.83,0.83,0.83,0.0
'City,1,0.37,0.37,0.37,0.37,0.0
'Come,1,0.23,0.23,0.23,0.23,0.0
'companion,1,0.8,0.8,0.8,0.8,0.0
'Down,1,0.29,0.29,0.29,0.29,0.0
'Dryad,3,1.87,0.6233333333333333,0.64,0.61,0.00023333333333333374
'Edinburgh,1,0.57,0.57,0.57,0.57,0.0
'especially,1,0.68,0.68,0.68,0.68,0.0
'Flowery,5,3.04,0.608,0.68,0.52,0.0037200000000000015
'gods,1,0.5,0.5,0.5,0.5,0.0
'Hats,1,0.38,0.38,0.38,0.38,0.0
'he,1,0.18,0.18,0.18,0.18,0.0
'Hush,1,0.49,0.49,0.49,0.49,0.0
'Lennie,2,0.38,0.19,0.37,0.01,0.0648
'Lennie's,1,0.41,0.41,0.41,0.41,0.0
'Let,1,0.23,0.23,0.23,0.23,0.0
'Life,1,0.42,0.42,0.42,0.42,0.0
'Love,1,0.38,0.38,0.38,0.38,0.0
'master's,1,0.56,0.56,0.56,0.56,0.0
'Mercy,1,0.01,0.01,0.01,0.01,0.0
'Now,1,0.25,0.25,0.25,0.25,0.0
's,2,0.18,0.09,0.16,0.02,0.0098
'smashers,1,0.79,0.79,0.79,0.79,0.0
'The,2,0.28,0.14,0.15,0.13,0.0001999999999999998
'Times,2,1.0,0.5,0.58,0.42,0.012799999999999995
'to,1,0.25,0.25,0.25,0.25,0.0
'un,1,0.24,0.24,0.24,0.24,0.0
'Victoria,3,0.87,0.29,0.6,0.12,0.07229999999999999
000,35,25.539999999999996,0.7297142857142858,2.4,0.01,0.17997932773109243
1,93,43.33000000000003,0.4659139784946237,1.77,0.01,0.09418747078073866
10,56,27.09999999999999,0.48392857142857143,1.82,0.01,0.13369337662337663
100,20,13.250000000000002,0.6625,1.49,0.22,0.08995657894736842
1000,4,3.76,0.94,1.23,0.52,0.10179999999999997
102,1,0.98,0.98,0.98,0.98,0.0
1026,6,6.0200000000000005,1.0033333333333334,1.17,0.92,0.007786666666666662
1063,1,0.29,0.29,0.29,0.29,0.0
10th,24,7.720000000000001,0.32166666666666666,1.03,0.21,0.026118840579710145
11,18,11.23,0.6238888888888889,1.22,0.36,0.08408398692810456
110,1,0.64,0.64,0.64,0.64,0.0
114,1,1.11,1.11,1.11,1.11,0.0
115,1,0.61,0.61,0.61,0.61,0.0
117,1,0.05,0.05,0.05,0.05,0.0
118,1,0.53,0.53,0.53,0.53,0.0
12,56,39.80000000000001,0.7107142857142857,1.6,0.01,0.11283948051948053
120,3,3.3800000000000003,1.1266666666666667,1.39,0.89,0.0630333333333333
1200,3,3.77,1.2566666666666668,2.16,0.37,0.8012333333333335
127,1,1.36,1.36,1.36,1.36,0.0
13,18,13.37,0.7427777777777778,1.53,0.38,0.07186830065359477
130,2,1.6,0.8,1.25,0.35,0.405
1308,1,1.27,1.27,1.27,1.27,0.0
133,9,8.169999999999998,0.9077777777777778,1.19,0.22,0.07356944444444444
136,2,1.77,0.885,1.25,0.52,0.26644999999999996
139,1,0.01,0.01,0.01,0.01,0.0
13th,1,0.23,0.23,0.23,0.23,0.0
14,11,6.880000000000001,0.6254545454545455,0.9,0.01,0.05452727272727273
140,2,1.8399999999999999,0.9199999999999999,0.95,0.89,0.0017999999999999965
1400,2,0.91,0.455,0.9,0.01,0.39605
143,1,0.01,0.01,0.01,0.01,0.0
145,2,2.4299999999999997,1.2149999999999999,1.25,1.18,0.0024500000000000043
1455,1,1.34,1.34,1.34,1.34,0.0
1462,1,1.23,1.23,1.23,1.23,0.0
1465,1,0.47,0.47,0.47,0.47,0.0
1468,1,1.23,1.23,1.23,1.23,0.0
1469,1,0.01,0.01,0.01,0.01,0.0
1470,2,2.51,1.255,1.38,1.13,0.03125
1490,1,1.02,1.02,1.02,1.02,0.0
14th,1,0.65,0.65,0.65,0.65,0.0
15,42,22.74000000000001,0.5414285714285715,1.24,0.17,0.058851567944250865
150,7,6.609999999999999,0.9442857142857143,1.75,0.18,0.35212857142857146
1500,1,0.82,0.82,0.82,0.82,0.0
1518,1,0.49,0.49,0.49,0.49,0.0
152,1,1.14,1.14,1.14,1.14,0.0
1599,1,0.24,0.24,0.24,0.24,0.0
15th,1,0.66,0.66,0.66,0.66,0.0
16,11,7.839999999999999,0.7127272727272728,0.87,0.55,0.009381818181818182
162,5,5.86,1.1720000000000002,1.34,0.85,0.04157000000000002
165,3,3.2700000000000005,1.09,1.3,0.68,0.1261
16th,1,0.8,0.8,0.8,0.8,0.0
17,17,11.639999999999997,0.6847058823529412,0.88,0.34,0.019101470588235293
170,5,6.76,1.352,1.76,0.97,0.10477
1700,1,1.93,1.93,1.93,1.93,0.0
1717,1,1.41,1.41,1.41,1.41,0.0
1720,1,1.01,1.01,1.01,1.01,0.0
1729,1,1.28,1.28,1.28,1.28,0.0
175,3,4.14,1.3800000000000001,1.55,1.26,0.022900000000000004
1750,1,0.23,0.23,0.23,0.23,0.0
176,1,1.77,1.77,1.77,1.77,0.0
177,1,1.53,1.53,1.53,1.53,0.0
1774,2,2.27,1.135,1.43,0.84,0.17404999999999998
1780,1,0.57,0.57,0.57,0.57,0.0
1783,1,0.7,0.7,0.7,0.7,0.0
1784,2,2.24,1.12,1.29,0.95,0.057800000000000025
1786,2,2.83,1.415,1.49,1.34,0.011249999999999987
1787,1,0.99,0.99,0.99,0.99,0.0
1788,1,0.63,0.63,0.63,0.63,0.0
1789,2,1.77,0.885,1.12,0.65,0.11045000000000003
1790,1,1.11,1.11,1.11,1.11,0.0
1791,1,1.49,1.49,1.49,1.49,0.0
1793,2,2.96,1.48,1.57,1.39,0.01620000000000003
1797,1,0.61,0.61,0.61,0.61,0.0
1798,1,0.27,0.27,0.27,0.27,0.0
1799,1,1.54,1.54,1.54,1.54,0.0
17th,2,1.23,0.615,0.64,0.59,0.0012500000000000022
18,17,11.33,0.6664705882352941,1.47,0.42,0.07722426470588234
180,2,1.04,0.52,0.53,0.51,0.00020000000000000036
1800,5,4.15,0.83,1.46,0.42,0.1734
1802,3,1.92,0.64,0.86,0.52,0.03639999999999999
1803,2,2.3,1.15,1.22,1.08,0.009799999999999986
1805,1,0.61,0.61,0.61,0.61,0.0
